Alabama
  Autauga County, AL (fips:01001)
                                   Roby, Martha (GOP)       5794
  Randolph County, AL (fips:01111)
    G-AL                              Ivey, Kay (GOP)       5723
                                   Maddox, Walt (Dem)       1854
    H-AL-03                      Hagan, Mallory (Dem)       1805
                                   Rogers, Mike (GOP)       5768
  Russell County, AL (fips:01113)
    G-AL                              Ivey, Kay (GOP)       7166
                                   Maddox, Walt (Dem)       7861
    H-AL-03                      Hagan, Mallory (Dem)       8016
                                   Rogers, Mike (GOP)       7001
  Shelby County, AL (fips:01117)
    G-AL                              Ivey, Kay (GOP)      56839
                                   Maddox, Walt (Dem)      26824
    H-AL-06                       Kline, Danner (Dem)      23193
                                   Palmer, Gary (GOP)      60170
  St. Clair County, AL (fips:01115)
    G-AL                              Ivey, Kay (GOP)      23507
                                   Maddox, Walt (Dem)       6373
    H-AL-03                      Hagan, Mallory (Dem)       5575
                                   Rogers, Mike (GOP)      24248
  Sumter County, AL (fips:01119)
    G-AL                              Ivey, Kay (GOP)       1289
                                   Maddox, Walt (Dem)       4146
    H-AL-07                       Sewell, Terri (Dem)          0
  Talladega County, AL (fips:01121)
    G-AL                              Ivey, Kay (GOP)      15608
                                   Maddox, Walt (Dem)      10596
    H-AL-03                      Hagan, Mallory (Dem)      10202
                                   Rogers, Mike (GOP)      15950
  Tallapoosa County, AL (fips:01123)
    G-AL                              Ivey, Kay (GOP)      10678
                                   Maddox, Walt (Dem)       4998
    H-AL-03                      Hagan, Mallory (Dem)       4673
                                   Rogers, Mike (GOP)      10967
  Tuscaloosa County, AL (fips:01125)
    G-AL                              Ivey, Kay (GOP)      34293
                                   Maddox, Walt (Dem)      34268
    H-AL-04                    Aderholt, Robert (GOP)      17520
                                     Auman, Lee (Dem)       5447
    H-AL-07                       Sewell, Terri (Dem)          0
  Walker County, AL (fips:01127)
    G-AL                              Ivey, Kay (GOP)      17643
                                   Maddox, Walt (Dem)       5453
    H-AL-04                    Aderholt, Robert (GOP)      18869
                                     Auman, Lee (Dem)       4097
  Washington County, AL (fips:01129)
    G-AL                              Ivey, Kay (GOP)       4724
                                   Maddox, Walt (Dem)       2168
    H-AL-01                      Byrne, Bradley (GOP)       4797
                                Kennedy, Robert (Dem)       2000
  Wilcox County, AL (fips:01131)
    G-AL                              Ivey, Kay (GOP)       1577
                                   Maddox, Walt (Dem)       3138
    H-AL-07                       Sewell, Terri (Dem)          0
  Winston County, AL (fips:01133)
    G-AL                              Ivey, Kay (GOP)       6569
                                   Maddox, Walt (Dem)       1100
    H-AL-04                    Aderholt, Robert (GOP)       6826
                                     Auman, Lee (Dem)        826
Alaska
  Alaska
    G-AK                           Begich, Mark (Dem)     104952
                                 Dunleavy, Mike (GOP)     125217
                                   Toien, Billy (Lib)       4449
                                   Walker, Bill (Ind)       4835
    H-AK-00                       Galvin, Alyse (Dem)     109615
                                     Young, Don (GOP)     128516
Arizona
  Apache County, AZ (fips:04001)
    G-AZ                            Ducey, Doug (GOP)       9165
                                  Garcia, David (Dem)      14942
                                  Torres, Angel (Grn)        912
    H-AZ-01                     O'Halleran, Tom (Dem)      16892
                                  Rogers, Wendy (GOP)       8067
    S-AZ                          Green, Angela (Grn)        961
                                McSally, Martha (GOP)       7801
                                Sinema, Kyrsten (Dem)      16284
  Cochise County, AZ (fips:04003)
    G-AZ                            Ducey, Doug (GOP)      28805
                                  Garcia, David (Dem)      14000
                                  Torres, Angel (Grn)       1126
    H-AZ-02                    Kirkpatrick, Ann (Dem)      17825
                          Marquez Peterson, Lea (GOP)      25436
    S-AZ                          Green, Angela (Grn)       1151
                                McSally, Martha (GOP)      26148
                                Sinema, Kyrsten (Dem)      16736
  Coconino County, AZ (fips:04005)
    G-AZ                            Ducey, Doug (GOP)      22009
                                  Garcia, David (Dem)      29506
                                  Torres, Angel (Grn)       1361
    H-AZ-01                     O'Halleran, Tom (Dem)      34506
                                  Rogers, Wendy (GOP)      18093
    S-AZ                          Green, Angela (Grn)       1653
                                McSally, Martha (GOP)      18565
                                Sinema, Kyrsten (Dem)      32951
  Gila County, AZ (fips:04007)
    G-AZ                            Ducey, Doug (GOP)      14443
                                  Garcia, David (Dem)       5621
                                  Torres, Angel (Grn)        467
    H-AZ-01                     O'Halleran, Tom (Dem)       4020
                                  Rogers, Wendy (GOP)       2812
    H-AZ-04                        Brill, David (Dem)       3510
                                    Gosar, Paul (GOP)       9793
                              Knauer, Haryaksha (Grn)        168
    S-AZ                          Green, Angela (Grn)        674
                                McSally, Martha (GOP)      12179
                                Sinema, Kyrsten (Dem)       7640
  Graham County, AZ (fips:04009)
    G-AZ                            Ducey, Doug (GOP)       7776
                                  Garcia, David (Dem)       2569
                                  Torres, Angel (Grn)        276
    H-AZ-01                     O'Halleran, Tom (Dem)       3658
                                  Rogers, Wendy (GOP)       6886
    S-AZ                          Green, Angela (Grn)        363
